Drug	Sample	Efficacy	Measurement	Value
Pizotifen	ipNF95.6	NA	TAUC	519.6034327
Huperizine A	ipNF95.6	NA	TAUC	512.2345819
Suramin sodium	ipNF95.6	NA	TAUC	537.3739559
Clopidogrel bisulfate	ipNF95.6	NA	TAUC	495.2638421
KN-62	ipNF95.6	NA	TAUC	457.7610236
Betulinic acid	ipNF95.6	NA	TAUC	516.1193626
Triptolide	ipNF95.6	NA	TAUC	203.5635434
Parthenolide	ipNF95.6	NA	TAUC	501.9753272
Tanespimycin	ipNF95.6	NA	TAUC	404.6701148
CA-074 Me	ipNF95.6	NA	TAUC	469.8093052
G?-6976	ipNF95.6	NA	TAUC	372.5383149
Mitomycin	ipNF95.6	NA	TAUC	488.3721392
FK-506	ipNF95.6	NA	TAUC	465.9086166
Cyclopamine	ipNF95.6	NA	TAUC	509.0254801
Wortmannin	ipNF95.6	NA	TAUC	470.5583495
Shikonin	ipNF95.6	NA	TAUC	310.3790283
Cerulenin	ipNF95.6	NA	TAUC	419.0022675
G?-6983	ipNF95.6	NA	TAUC	430.5070851
Octylonium bromide	ipNF95.6	NA	TAUC	476.8328907
Aloe-emodin	ipNF95.6	NA	TAUC	496.2941111
Daidzin	ipNF95.6	NA	TAUC	561.3947856
Hesperetin	ipNF95.6	NA	TAUC	481.5981653
Ecdysone	ipNF95.6	NA	TAUC	521.3688611
Echinomycin	ipNF95.6	NA	TAUC	302.7756087
Evodiamine	ipNF95.6	NA	TAUC	500.4947398
Honokiol	ipNF95.6	NA	TAUC	479.6152973
Sclareolide	ipNF95.6	NA	TAUC	491.3558597
Tetrahydropapaverine	ipNF95.6	NA	TAUC	487.6537308
Cryptotanshinone	ipNF95.6	NA	TAUC	466.2509979
Metenkephalin	ipNF95.6	NA	TAUC	516.5361424
Vincristine sulfate	ipNF95.6	NA	TAUC	460.89523
3-indolebutyric acid	ipNF95.6	NA	TAUC	503.9314362
L-Thyroxine	ipNF95.6	NA	TAUC	508.8757573
Mannitol	ipNF95.6	NA	TAUC	518.4459431
Formestane	ipNF95.6	NA	TAUC	524.8498107
Clomifene citrate	ipNF95.6	NA	TAUC	523.8890686
Ciprofibrate	ipNF95.6	NA	TAUC	538.7444521
Zafirlukast	ipNF95.6	NA	TAUC	555.8225781
Dofetilide	ipNF95.6	NA	TAUC	546.432754
Lafutidine	ipNF95.6	NA	TAUC	524.7880524
Clofarabine	ipNF95.6	NA	TAUC	460.754182
Duloxetine hydrochloride	ipNF95.6	NA	TAUC	432.1586939
Zanamivir	ipNF95.6	NA	TAUC	477.4932693
Pitavastatin calcium	ipNF95.6	NA	TAUC	370.4962553
Capecitabine	ipNF95.6	NA	TAUC	514.4880918
Rimonabant	ipNF95.6	NA	TAUC	424.6243126
Erlotinib hydrochloride	ipNF95.6	NA	TAUC	502.0123459
Lopinavir	ipNF95.6	NA	TAUC	480.2973909
Malotilate	ipNF95.6	NA	TAUC	509.5916953
Drospirenone	ipNF95.6	NA	TAUC	479.4090223
Artemether	ipNF95.6	NA	TAUC	465.9936354
Loteprednol etabonate	ipNF95.6	NA	TAUC	495.0217588
Artesunate (AS)	ipNF95.6	NA	TAUC	497.6515013
Liranaftate	ipNF95.6	NA	TAUC	508.3547693
Fluvastatin	ipNF95.6	NA	TAUC	331.0400694
Epalrestat	ipNF95.6	NA	TAUC	422.8468604
Prulifloxacin	ipNF95.6	NA	TAUC	531.1657398
Adapalene	ipNF95.6	NA	TAUC	486.7145099
Anastrozole	ipNF95.6	NA	TAUC	528.4680983
Voriconazole	ipNF95.6	NA	TAUC	496.8943746
Adefovir dipivoxil	ipNF95.6	NA	TAUC	491.7404238
Alibendol	ipNF95.6	NA	TAUC	511.6094832
Sunitinib malate	ipNF95.6	NA	TAUC	442.0477813
Balsalazide disodium	ipNF95.6	NA	TAUC	501.8770986
Nifekalant	ipNF95.6	NA	TAUC	533.3854707
Fulvestrant	ipNF95.6	NA	TAUC	521.5544666
A 83-01	ipNF95.6	NA	TAUC	514.7177636
Plerixafor hydrochloride	ipNF95.6	NA	TAUC	531.2545116
AKT inhibitor VIII	ipNF95.6	NA	TAUC	509.4122948
Acadesine	ipNF95.6	NA	TAUC	566.5406503
Benzapril	ipNF95.6	NA	TAUC	458.4928738
BMS-345541	ipNF95.6	NA	TAUC	495.6419831
339253	ipNF95.6	NA	TAUC	453.8916575
Cardiogenol	ipNF95.6	NA	TAUC	500.5241831
C-75	ipNF95.6	NA	TAUC	487.3133551
GW 4869	ipNF95.6	NA	TAUC	524.7958815
Vadimezan	ipNF95.6	NA	TAUC	511.792327
GW-6471	ipNF95.6	NA	TAUC	458.6546988
IMD-0354	ipNF95.6	NA	TAUC	415.1915314
NSC-724771	ipNF95.6	NA	TAUC	454.4256475
KI-16425	ipNF95.6	NA	TAUC	455.3782688
Entinostat	ipNF95.6	NA	TAUC	497.3792492
NU-6027	ipNF95.6	NA	TAUC	468.0943879
PD-173074	ipNF95.6	NA	TAUC	513.9472019
Dorsomorphin	ipNF95.6	NA	TAUC	443.6076103
PS-1145	ipNF95.6	NA	TAUC	503.4653272
PB-28	ipNF95.6	NA	TAUC	432.206408
Reversine	ipNF95.6	NA	TAUC	471.870788
SB-505124	ipNF95.6	NA	TAUC	526.7736853
SD-208	ipNF95.6	NA	TAUC	508.2877068
SU-MI-2	ipNF95.6	NA	TAUC	556.0571904
TRAM-34	ipNF95.6	NA	TAUC	469.3022121
KDS-4103	ipNF95.6	NA	TAUC	456.3167188
Vinorelbine	ipNF95.6	NA	TAUC	483.6842186
Demecolcine	ipNF95.6	NA	TAUC	466.6103975
Arbutin	ipNF95.6	NA	TAUC	475.2762274
Decitabine	ipNF95.6	NA	TAUC	532.8287058
Estriol	ipNF95.6	NA	TAUC	517.3215882
Meglumine	ipNF95.6	NA	TAUC	505.1425055
Quinine	ipNF95.6	NA	TAUC	515.0961222
Sparfloxacin	ipNF95.6	NA	TAUC	641.4668726
Marbofloxacin	ipNF95.6	NA	TAUC	515.5401024
Trifluridine	ipNF95.6	NA	TAUC	422.2038421
Argatroban	ipNF95.6	NA	TAUC	492.777791
Aloxistatin	ipNF95.6	NA	TAUC	511.9871184
Pluripotin	ipNF95.6	NA	TAUC	441.1057766
Temozolomide	ipNF95.6	NA	TAUC	558.356299
Tioconazole	ipNF95.6	NA	TAUC	493.5145997
Rifapentine	ipNF95.6	NA	TAUC	329.7272967
Rocuronium bromide	ipNF95.6	NA	TAUC	514.9142268
Trospium chloride	ipNF95.6	NA	TAUC	504.347033
Pramipexole hydrochloride	ipNF95.6	NA	TAUC	494.4061108
Clinofibrate	ipNF95.6	NA	TAUC	548.7497848
Lomustine	ipNF95.6	NA	TAUC	565.495375
Vecuronium bromide	ipNF95.6	NA	TAUC	508.1633296
Amlexanox	ipNF95.6	NA	TAUC	483.0544433
Doripenem	ipNF95.6	NA	TAUC	505.2086571
(R)-Bicalutamide	ipNF95.6	NA	TAUC	466.3948478
Sorafenib	ipNF95.6	+	TAUC	508.4152749
Lumefantrine	ipNF95.6	NA	TAUC	519.520441
Lenalidomide	ipNF95.6	NA	TAUC	585.7619754
Manidipine	ipNF95.6	NA	TAUC	510.2504311
Methylene blue	ipNF95.6	NA	TAUC	432.2310727
Aclarubicin	ipNF95.6	NA	TAUC	438.5672763
Pimecrolimus	ipNF95.6	NA	TAUC	490.9694337
Lapatinib	ipNF95.6	NA	TAUC	484.5946267
Vandetanib	ipNF95.6	NA	TAUC	485.584007
Temsirolimus	ipNF95.6	NA	TAUC	417.089592
Ramatroban	ipNF95.6	NA	TAUC	500.6654072
Cilomilast	ipNF95.6	NA	TAUC	573.8870605
Amorolfine hydrochloride	ipNF95.6	NA	TAUC	460.202933
Tazarotene	ipNF95.6	NA	TAUC	488.3521462
Camostat mesylate	ipNF95.6	NA	TAUC	488.2969887
Rivastigmine tartrate	ipNF95.6	NA	TAUC	518.8596219
Balofloxacin	ipNF95.6	NA	TAUC	528.3708026
Vardenafil	ipNF95.6	NA	TAUC	484.1325746
Tenofovir	ipNF95.6	NA	TAUC	517.586735
Fleroxacin	ipNF95.6	NA	TAUC	486.0964764
Carbazochrome sodium sulfonate	ipNF95.6	NA	TAUC	483.8345347
GW-4064X	ipNF95.6	NA	TAUC	497.2549581
Costunolide	ipNF95.6	NA	TAUC	492.1805526
PNU-120596	ipNF95.6	NA	TAUC	569.4583
SSR-69071	ipNF95.6	NA	TAUC	470.2796637
IKK16	ipNF95.6	NA	TAUC	491.9325078
KI-8751	ipNF95.6	NA	TAUC	470.9726247
TPCA-1	ipNF95.6	NA	TAUC	416.0569743
Cetirizine hydrochloride	ipNF95.6	NA	TAUC	540.4516164
PAC-1	ipNF95.6	NA	TAUC	484.6899862
Oxaliplatin	ipNF95.6	NA	TAUC	549.3267976
CL 82198	ipNF95.6	NA	TAUC	515.0537616
GSI-9	ipNF95.6	NA	TAUC	477.5822634
Ivachtin	ipNF95.6	NA	TAUC	488.5471015
GW-9508	ipNF95.6	NA	TAUC	533.6028667
SN-38	ipNF95.6	NA	TAUC	420.2519151
Carvedilol	ipNF95.6	NA	TAUC	515.8706086
Telithromycin	ipNF95.6	NA	TAUC	477.2510844
Tiotropium bromide	ipNF95.6	NA	TAUC	509.330431
Bicalutamide	ipNF95.6	NA	TAUC	519.2089267
Ceftiofur hydrochloride	ipNF95.6	NA	TAUC	487.0247971
Pirarubicin	ipNF95.6	NA	TAUC	479.5163757
Dextromethorphan hydrobromide	ipNF95.6	NA	TAUC	508.7722697
Vorinostat	ipNF95.6	NA	TAUC	433.3914844
AG-14361	ipNF95.6	NA	TAUC	481.0592431
Secin H3	ipNF95.6	NA	TAUC	475.8563949
Tozasertib	ipNF95.6	NA	TAUC	481.2615911
IC-87114	ipNF95.6	NA	TAUC	365.9601209
NCGC00168459-01	ipNF95.6	NA	TAUC	471.9590927
PTC-124	ipNF95.6	NA	TAUC	560.4038159
Darunavir	ipNF95.6	NA	TAUC	453.6933597
Rasagiline mesilate	ipNF95.6	NA	TAUC	486.3467393
Tadalafil	ipNF95.6	NA	TAUC	528.7829736
Gemcitabine	ipNF95.6	NA	TAUC	353.6467719
Diclazuril	ipNF95.6	NA	TAUC	503.4788203
Lupeol	ipNF95.6	NA	TAUC	533.6749631
Salidroside	ipNF95.6	NA	TAUC	502.1956607
Sesamin	ipNF95.6	NA	TAUC	544.0564291
Tetrahydroberberine Canadine	ipNF95.6	NA	TAUC	544.100481
Uridine triacetate	ipNF95.6	NA	TAUC	519.3505717
Azelastine hydrochloride	ipNF95.6	NA	TAUC	434.3463497
Pefloxacin	ipNF95.6	NA	TAUC	489.5923534
Sarafloxacin hydrochloride	ipNF95.6	NA	TAUC	489.5657715
Clarithromycin	ipNF95.6	NA	TAUC	481.4070645
Ramipril	ipNF95.6	NA	TAUC	420.6468603
Thiamphenicol	ipNF95.6	NA	TAUC	483.6506882
Limonin	ipNF95.6	NA	TAUC	503.3894306
Cefdinir	ipNF95.6	NA	TAUC	500.4709588
Bromhexine hydrochloride	ipNF95.6	NA	TAUC	506.2138804
Levofloxacin	ipNF95.6	NA	TAUC	588.7581908
Valaciclovir	ipNF95.6	NA	TAUC	553.2627328
Irinotecan	ipNF95.6	NA	TAUC	473.647283
Oseltamivir phosphate	ipNF95.6	NA	TAUC	474.229335
Ramelteon	ipNF95.6	NA	TAUC	517.7070219
Sitagliptin	ipNF95.6	NA	TAUC	538.989688
Sodium cloxacillin	ipNF95.6	NA	TAUC	489.5599225
Tobramycin	ipNF95.6	NA	TAUC	510.1315294
Tripterin	ipNF95.6	NA	TAUC	404.1513629
Pentamidine isethionate	ipNF95.6	NA	TAUC	484.9996285
Dorzolamide hydrochloride	ipNF95.6	NA	TAUC	488.0775961
Halofantrine	ipNF95.6	NA	TAUC	514.0771676
Indirubin	ipNF95.6	NA	TAUC	415.6132877
Fluticasone propionate	ipNF95.6	NA	TAUC	464.0289651
Ondansetron hydrochloride	ipNF95.6	NA	TAUC	549.3488244
Ursodiol	ipNF95.6	NA	TAUC	494.7280444
Ifomide	ipNF95.6	NA	TAUC	521.6729109
Monensin sodium salt	ipNF95.6	NA	TAUC	410.4165452
Aurantiamarin	ipNF95.6	NA	TAUC	485.0999686
Aurantiamarin	alt	NA	TAUC	461.0908855
Etoposide	ipNF95.6	NA	TAUC	508.2025362
Racecadotril	ipNF95.6	NA	TAUC	478.5707556
Mometasone furoate	ipNF95.6	NA	TAUC	411.0501141
Butoconazole nitrate	ipNF95.6	NA	TAUC	485.8931849
Isoconazole nitrate	ipNF95.6	NA	TAUC	485.9917992
Prednisolone	ipNF95.6	NA	TAUC	492.7708667
Idoxuridine	ipNF95.6	NA	TAUC	488.4211882
Suplatast tosilate	ipNF95.6	NA	TAUC	478.0557228
Cinacalcet	ipNF95.6	NA	TAUC	550.892797
Gimeracil	ipNF95.6	NA	TAUC	501.4228448
Mizolastine	ipNF95.6	NA	TAUC	498.5994263
Bexarotene	ipNF95.6	NA	TAUC	475.2012564
Taltirelin	ipNF95.6	NA	TAUC	497.3435569
Nelarabine	ipNF95.6	NA	TAUC	515.8411845
Tamibarotene	ipNF95.6	NA	TAUC	527.2178647
Dasatinib	ipNF95.6	NA	TAUC	393.2361184
Epothilone B	ipNF95.6	NA	TAUC	361.5389298
Nedaplatin	ipNF95.6	NA	TAUC	583.2779011
Mesna	ipNF95.6	NA	TAUC	506.2879336
Bendamustine	ipNF95.6	NA	TAUC	564.0222999
Seratrodast	ipNF95.6	NA	TAUC	457.8017344
Neomycin sulfate	ipNF95.6	NA	TAUC	512.1274859
Imexon	ipNF95.6	NA	TAUC	574.9308248
Docetaxel	ipNF95.6	NA	TAUC	394.0596756
2-Fluoroadenosine	ipNF95.6	NA	TAUC	319.0682749
Ivabradine hydrochloride	ipNF95.6	NA	TAUC	539.3890136
Temocapril hydrochloride	ipNF95.6	NA	TAUC	435.5001577
Ranelic acid distrontium salt	ipNF95.6	NA	TAUC	498.0271276
Vatalanib	ipNF95.6	NA	TAUC	529.7875669
Deferasirox	ipNF95.6	NA	TAUC	497.4634695
Pranlukast hydrate	ipNF95.6	NA	TAUC	516.7581996
Tolcapone	ipNF95.6	NA	TAUC	515.0324635
Ibutilide fumarate	ipNF95.6	NA	TAUC	603.6093571
Aprepitant	ipNF95.6	NA	TAUC	515.0282143
Naratriptan hydrochloride	ipNF95.6	NA	TAUC	465.2155147
Octreotide	ipNF95.6	NA	TAUC	497.7657243
Alacepril	ipNF95.6	NA	TAUC	585.1338298
Pentostatin	ipNF95.6	NA	TAUC	501.3790298
Fludarabine phosphate	ipNF95.6	NA	TAUC	435.4443718
R406	ipNF95.6	NA	TAUC	490.3043785
SRT1720	ipNF95.6	NA	TAUC	434.285543
Bazedoxifene	ipNF95.6	NA	TAUC	552.8514823
Doxercalciferol	ipNF95.6	NA	TAUC	469.1254131
Febuxostat	ipNF95.6	NA	TAUC	445.9123863
Roxithromycin	ipNF95.6	NA	TAUC	462.9123872
Clorsulon	ipNF95.6	NA	TAUC	492.0984004
Vicriviroc	ipNF95.6	NA	TAUC	463.8255289
Atazanavir sulfate	ipNF95.6	NA	TAUC	495.3201023
Latrepirdine hydrochloride	ipNF95.6	NA	TAUC	493.5822845
Canertinib	ipNF95.6	NA	TAUC	490.4998934
Meprednisone	ipNF95.6	NA	TAUC	470.161112
Daporinad	ipNF95.6	NA	TAUC	380.956597
Biperiden	ipNF95.6	NA	TAUC	503.1825371
Tolvaptan	ipNF95.6	NA	TAUC	488.0759284
Cephradine	ipNF95.6	NA	TAUC	481.392369
Nystatin	ipNF95.6	NA	TAUC	508.2701908
Minocycline	ipNF95.6	NA	TAUC	521.4287236
Tigecycline	ipNF95.6	NA	TAUC	492.3760866
Lubiprostone	ipNF95.6	NA	TAUC	465.7832075
Maraviroc	ipNF95.6	NA	TAUC	526.8516634
Glycyrrhizic acid	ipNF95.6	NA	TAUC	523.9306536
Ritonavir	ipNF95.6	NA	TAUC	462.5883375
Nilotinib	ipNF95.6	NA	TAUC	514.7198937
Oxacillin sodium	ipNF95.6	NA	TAUC	489.6993365
Pentagastrin	ipNF95.6	NA	TAUC	452.9632423
NCGC00183434-01	ipNF95.6	NA	TAUC	622.2009678
Hypothemycin	ipNF95.6	NA	TAUC	445.6532119
VX-765	ipNF95.6	NA	TAUC	492.0496021
NCGC00183808-01	ipNF95.6	NA	TAUC	507.0548382
Monatepil	ipNF95.6	NA	TAUC	490.9122721
Sitafloxacin hydrate	ipNF95.6	NA	TAUC	563.0097819
Troxacitabine	ipNF95.6	NA	TAUC	575.4623203
Aloin	ipNF95.6	NA	TAUC	510.3490067
Granisetron hydrochloride	ipNF95.6	NA	TAUC	510.8528834
Nebivolol	ipNF95.6	NA	TAUC	495.2569349
Tenofovir Disoproxil Fumarate	ipNF95.6	NA	TAUC	515.5416879
Zaltoprofen	ipNF95.6	NA	TAUC	542.3368745
Moxifloxacin hydrochloride	ipNF95.6	NA	TAUC	601.9831481
FR-180204	ipNF95.6	NA	TAUC	426.5740507
Cidofovir	ipNF95.6	NA	TAUC	605.7173717
Raltegravir	ipNF95.6	NA	TAUC	515.5728884
Afatinib	ipNF95.6	NA	TAUC	519.7972934
NCGC00185053	ipNF95.6	NA	TAUC	514.5165083
Calcium folinate	ipNF95.6	NA	TAUC	490.1916313
NCGC00185090-04	ipNF95.6	NA	TAUC	441.6382709
Posaconazole	ipNF95.6	NA	TAUC	470.1160845
Nepafenac	ipNF95.6	NA	TAUC	541.267705
Estramustine	ipNF95.6	NA	TAUC	560.3505677
Vindesine sulfate	ipNF95.6	NA	TAUC	446.2820324
Clindamycin palmitate	ipNF95.6	NA	TAUC	482.3206388
Erdosteine	ipNF95.6	NA	TAUC	502.694298
Nitisinone	ipNF95.6	NA	TAUC	457.1185863
BIX-01294	ipNF95.6	NA	TAUC	433.6291437
NCGC00185916	ipNF95.6	NA	TAUC	502.079498
Ketorolac	ipNF95.6	NA	TAUC	453.5838473
10058-F4	ipNF95.6	NA	TAUC	504.9558754
AS-252424	ipNF95.6	NA	TAUC	508.142762
Nefiracetam	ipNF95.6	NA	TAUC	474.2955489
AS-604850	ipNF95.6	NA	TAUC	519.1949523
Genipin	ipNF95.6	NA	TAUC	466.3910328
Esomeprazole magnesium	ipNF95.6	NA	TAUC	488.2538494
SB-525334	ipNF95.6	NA	TAUC	517.0781675
Levetiracetam	ipNF95.6	NA	TAUC	554.5146791
AS-605240	ipNF95.6	NA	TAUC	495.9748103
NCGC00186035-01	ipNF95.6	NA	TAUC	506.0739124
Ibandronate sodium hydrate	ipNF95.6	NA	TAUC	465.752796
Caroverine hydrochloride	ipNF95.6	NA	TAUC	478.3126407
IPA-3	ipNF95.6	NA	TAUC	469.7027507
Bardoxolone methyl	ipNF95.6	NA	TAUC	403.6831523
Aliskiren hemifumarate	ipNF95.6	NA	TAUC	494.8635249
MK-2206	ipNF95.6	-	TAUC	481.6733889
NCGC00186528	ipNF95.6	NA	TAUC	486.4801567
Butylscopolamine bromide	ipNF95.6	NA	TAUC	512.5472833
BEZ235	ipNF95.6	NA	TAUC	367.098149
GDC-0941	ipNF95.6	-	TAUC	406.0992505
PI-103	ipNF95.6	NA	TAUC	343.285506
PLX-4720	ipNF95.6	NA	TAUC	493.5187128
PCI-32765	ipNF95.6	NA	TAUC	481.0373838
Thiazovivin	ipNF95.6	NA	TAUC	483.8212208
Navitoclax	ipNF95.6	-	TAUC	484.8428187
PP-242	ipNF95.6	NA	TAUC	394.2569037
RDEA-119	ipNF95.6	NA	TAUC	516.9032189
NCGC00188382-01	ipNF95.6	NA	TAUC	384.9272043
Fingolimod hydrochloride	ipNF95.6	NA	TAUC	484.0659614
Acitazanolast	ipNF95.6	NA	TAUC	494.0485925
Asenapine maleate	ipNF95.6	NA	TAUC	482.1072849
Prasugrel	ipNF95.6	NA	TAUC	513.1239747
Dronedarone	ipNF95.6	NA	TAUC	467.361785
Iloperidone	ipNF95.6	NA	TAUC	475.277747
Pazopanib	ipNF95.6	NA	TAUC	490.5156824
NA	ipNF95.6	NA	TAUC	523.9969913
Orotic acid	ipNF95.6	NA	TAUC	517.7933488
Pravastatin sodium	ipNF95.6	NA	TAUC	547.4546691
Selumetinib	ipNF95.6	++	TAUC	515.3553742
PD-184352	ipNF95.6	NA	TAUC	466.1559613
PD-0325901	ipNF95.6	++	TAUC	485.417033
UNC-0638	ipNF95.6	NA	TAUC	423.5986762
NCGC00189393-02	ipNF95.6	NA	TAUC	502.7016101
Tofacitinib	ipNF95.6	NA	TAUC	462.0996556
NCGC00229512-01	ipNF95.6	NA	TAUC	455.5556396
Raltitrexed	ipNF95.6	NA	TAUC	378.9851837
KU-60019	ipNF95.6	NA	TAUC	506.9636534
Olaparib	ipNF95.6	NA	TAUC	454.9463363
Enzastaurin	ipNF95.6	NA	TAUC	471.9886682
TAE-684	ipNF95.6	NA	TAUC	396.2281465
PIK-90	ipNF95.6	NA	TAUC	455.9229603
NCGC00238624	ipNF95.6	NA	TAUC	478.5189006
NCGC00241036-01	ipNF95.6	NA	TAUC	519.9567894
Tandutinib	ipNF95.6	NA	TAUC	434.9773598
Saracatinib	ipNF95.6	NA	TAUC	490.6171328
Neratinib	ipNF95.6	NA	TAUC	460.450094
Midostaurin	ipNF95.6	Toxic	TAUC	399.6867084
Masitinib	ipNF95.6	NA	TAUC	522.1235521
Doramapimod	ipNF95.6	NA	TAUC	516.4015977
Bosutinib	ipNF95.6	NA	TAUC	518.7073306
Axitinib	ipNF95.6	NA	TAUC	547.5605808
VX-745	ipNF95.6	NA	TAUC	528.4516406
RWJ-67657	ipNF95.6	NA	TAUC	538.3295665
Orantinib	ipNF95.6	NA	TAUC	446.0039498
KUC107550N	ipNF95.6	NA	TAUC	492.5564694
NCGC00241410-01	ipNF95.6	NA	TAUC	514.2936224
NCGC00241411-01	ipNF95.6	NA	TAUC	481.7103295
GW-501516	ipNF95.6	NA	TAUC	566.0879177
GSK-269962A	ipNF95.6	NA	TAUC	414.8605186
SJN 2511	ipNF95.6	NA	TAUC	503.4618127
IKK-3 Inhibitor IX	ipNF95.6	NA	TAUC	503.7476643
GW 843682X	ipNF95.6	NA	TAUC	457.5716746
TCS JNK 5a	ipNF95.6	NA	TAUC	444.8019214
SB-590885	ipNF95.6	NA	TAUC	503.8144349
EX-527	ipNF95.6	NA	TAUC	503.5972985
GSK-4112	ipNF95.6	NA	TAUC	508.6241377
AC-261066	ipNF95.6	NA	TAUC	515.2739394
Alvespimycin hydrochloride	ipNF95.6	NA	TAUC	339.3993236
Zibotentan	ipNF95.6	NA	TAUC	467.5628013
Ivacaftor	ipNF95.6	NA	TAUC	552.0583299
AZD-7762	ipNF95.6	NA	TAUC	411.9860287
SNS-314	ipNF95.6	NA	TAUC	473.430974
WYE-354	ipNF95.6	NA	TAUC	313.695435
Pemetrexed disodium	ipNF95.6	NA	TAUC	486.1974311
AZD-1480	ipNF95.6	+	TAUC	560.0492757
NCGC00242487	ipNF95.6	NA	TAUC	479.1811966
LG100268	ipNF95.6	NA	TAUC	524.1580156
PD-166285	ipNF95.6	NA	TAUC	395.8552453
SB-265610	ipNF95.6	NA	TAUC	525.3743708
BIBR 1532	ipNF95.6	NA	TAUC	495.1181115
Quizartinib	ipNF95.6	NA	TAUC	470.7443664
PF-431396	ipNF95.6	NA	TAUC	486.9362967
Vismodegib	ipNF95.6	NA	TAUC	499.7117591
D-4476	ipNF95.6	NA	TAUC	520.1803059
Pim 1 inhibitor 2	ipNF95.6	NA	TAUC	494.3080378
ITX3	ipNF95.6	NA	TAUC	534.7299961
Meclinertant	ipNF95.6	NA	TAUC	443.5645757
Cortivazol	ipNF95.6	NA	TAUC	416.2649236
Deacetyl cortivazol	ipNF95.6	NA	TAUC	453.4058572
Bortezomib	ipNF95.6	NA	TAUC	282.7860669
Everolimus	ipNF95.6	NA	TAUC	404.8399763
Seocalcitol	ipNF95.6	NA	TAUC	471.9838577
methyl jasmonate	ipNF95.6	NA	TAUC	546.1150144
Sepantronium bromide	ipNF95.6	NA	TAUC	268.6291705
Pralatrexate	ipNF95.6	NA	TAUC	407.7316204
Saxagliptin	ipNF95.6	NA	TAUC	516.3357257
LY2109761	ipNF95.6	NA	TAUC	518.6848067
NCGC00244250-01	ipNF95.6	NA	TAUC	493.6992262
TG-101348	ipNF95.6	NA	TAUC	486.708961
Ruxolitinib	ipNF95.6	NA	TAUC	472.012413
Lestaurtinib	ipNF95.6	NA	TAUC	394.5121369
CYT387	ipNF95.6	NA	TAUC	439.6802437
Pyronaridine	ipNF95.6	NA	TAUC	528.8598428
Arbidol	ipNF95.6	NA	TAUC	505.01049
NSC-207895	ipNF95.6	NA	TAUC	496.4944833
Flubendazole	ipNF95.6	NA	TAUC	437.1879284
Olmesartan	ipNF95.6	NA	TAUC	519.9053206
Polydatin	ipNF95.6	NA	TAUC	517.2014353
2-Deoxyglucose	ipNF95.6	NA	TAUC	513.4016307
Tanshinone I	ipNF95.6	NA	TAUC	553.970829
Varenicline tartrate	ipNF95.6	NA	TAUC	531.4641264
KUC109088N-03	ipNF95.6	NA	TAUC	459.0786955
NCGC00247866-02	ipNF95.6	NA	TAUC	511.0292898
CNF-2024	ipNF95.6	NA	TAUC	459.5950804
NVP-AUY922	ipNF95.6	NA	TAUC	424.2358405
VER-82576	ipNF95.6	NA	TAUC	476.7058883
SSR-504734	ipNF95.6	NA	TAUC	499.0355462
Tempol	ipNF95.6	NA	TAUC	511.3073908
SB1518	ipNF95.6	NA	TAUC	443.1687894
LY2157299	ipNF95.6	NA	TAUC	512.5317258
LDN-193189	ipNF95.6	NA	TAUC	426.1365847
Tivozanib	ipNF95.6	NA	TAUC	510.4033688
NVP-BHG712	ipNF95.6	NA	TAUC	478.5473542
Telatinib	ipNF95.6	NA	TAUC	541.2359619
Apatinib	ipNF95.6	NA	TAUC	539.9756413
Ixazomib	ipNF95.6	NA	TAUC	424.3850913
Ixazomib citrate	ipNF95.6	NA	TAUC	387.5855064
Carfilzomib	ipNF95.6	NA	TAUC	324.9294378
VX-702	ipNF95.6	NA	TAUC	545.5722563
Dovitinib	ipNF95.6	NA	TAUC	540.884066
NCGC00249759-01	ipNF95.6	NA	TAUC	519.444267
NVP-ABE171	ipNF95.6	NA	TAUC	457.4913025
A-769662	ipNF95.6	NA	TAUC	582.9680875
Licofelone	ipNF95.6	NA	TAUC	529.8922397
Linsitinib	ipNF95.6	NA	TAUC	562.8989994
KN-93	ipNF95.6	NA	TAUC	514.2644443
NU-7441	ipNF95.6	NA	TAUC	450.852983
Piboserod hydrochloride	ipNF95.6	NA	TAUC	420.7668785
CT-99021	ipNF95.6	NA	TAUC	447.5783832
AZ-628	ipNF95.6	NA	TAUC	476.2902821
AZ-23	ipNF95.6	NA	TAUC	493.7788166
NVP-LDE-225	ipNF95.6	NA	TAUC	490.8445556
Irestatin 9389	ipNF95.6	NA	TAUC	429.4239795
PHA-408	ipNF95.6	NA	TAUC	466.5927911
XMD8-92	ipNF95.6	NA	TAUC	494.0683248
BX-795	ipNF95.6	NA	TAUC	366.1573917
KU 0060648	ipNF95.6	NA	TAUC	405.8641536
KRP 203	ipNF95.6	NA	TAUC	457.7301505
CDIBA	ipNF95.6	NA	TAUC	541.8734506
ISOX	ipNF95.6	NA	TAUC	443.5865036
AZD-7545	ipNF95.6	NA	TAUC	519.4455435
AR-C155858	ipNF95.6	NA	TAUC	472.0191725
CAP-232	ipNF95.6	NA	TAUC	473.8309032
OSI-027	ipNF95.6	NA	TAUC	422.5239435
KU-0063794	ipNF95.6	NA	TAUC	408.9748745
NVP-XAV-939	ipNF95.6	NA	TAUC	516.089446
PF-05212384	ipNF95.6	NA	TAUC	291.193601
Vemurafenib	ipNF95.6	NA	TAUC	487.0856755
